year,state,avg_unemployment
2006,Idaho,3.425
2007,Idaho,3.025
2008,Idaho,5.0333
2009,Idaho,8.7083
2010,Idaho,8.7583
2011,Idaho,8.1667
2012,Idaho,7.4
2013,Idaho,6.8167
2014,Idaho,4.3833
2015,Idaho,3.8667
2016,Idaho,3.675
2017,Idaho,3.2167
2018,Idaho,2.875
2019,Idaho,2.8833
2020,Idaho,5.5417
2021,Idaho,3.55
2022,Idaho,2.8417
2023,Idaho,3.0833
1993,Illinois,7.4917
1994,Illinois,5.8
1995,Illinois,5.2
1996,Illinois,5.2833
1997,Illinois,4.775
1998,Illinois,4.45
1999,Illinois,4.4083
2000,Illinois,4.4417
2001,Illinois,5.4333
2002,Illinois,6.55
2003,Illinois,6.725
2004,Illinois,6.175
2005,Illinois,5.7167
2006,Illinois,4.6
2007,Illinois,5.0667
2008,Illinois,6.5083
2009,Illinois,10.1833
2010,Illinois,10.4667
2011,Illinois,9.7583
2012,Illinois,9.05
2013,Illinois,9.075
2014,Illinois,7.1667
2015,Illinois,5.9917
2016,Illinois,5.8833
2017,Illinois,4.95
2018,Illinois,4.4
2019,Illinois,3.9667
2020,Illinois,9.3083
2021,Illinois,6.1
2022,Illinois,4.5667
2023,Illinois,4.4583
1993,Indiana,5.1167
1994,Indiana,4.6583
1995,Indiana,4.4333
1996,Indiana,3.9667
1997,Indiana,3.4167
1998,Indiana,3.0083
1999,Indiana,2.95
2000,Indiana,3.05
2001,Indiana,4.2417
2002,Indiana,5.1917
2003,Indiana,5.275
2004,Indiana,5.4
2005,Indiana,5.3917
2006,Indiana,5
2007,Indiana,4.625
2008,Indiana,5.9417
2009,Indiana,10.4333
2010,Indiana,10.0833
2011,Indiana,8.9083
2012,Indiana,8.225
2013,Indiana,7.5
2014,Indiana,5.95
2015,Indiana,4.7833
2016,Indiana,4.3667
2017,Indiana,3.4917
2018,Indiana,3.4333
2019,Indiana,3.3083
2020,Indiana,7.35
2021,Indiana,3.9167
2022,Indiana,3.0667
2023,Indiana,3.3417
1993,Iowa,4.1417
1994,Iowa,3.6
1995,Iowa,3.5083
1996,Iowa,3.5833
1997,Iowa,3.1417
1998,Iowa,2.8417
1999,Iowa,2.6583
2000,Iowa,2.6833
2001,Iowa,3.325
2002,Iowa,4
2003,Iowa,4.45
2004,Iowa,4.525
2005,Iowa,4.2917
2006,Iowa,3.7
2007,Iowa,3.7167
2008,Iowa,4.1833
2009,Iowa,6.4
2010,Iowa,6.1167
2011,Iowa,5.65
2012,Iowa,5.0583
2013,Iowa,4.725
2014,Iowa,4.225
2015,Iowa,3.6917
2016,Iowa,3.575
2017,Iowa,3.0583
2018,Iowa,2.575
2019,Iowa,2.6583
2020,Iowa,5.2
2021,Iowa,3.85
2022,Iowa,2.8083
2023,Iowa,2.9583
1993,Kentucky,6.1917
1994,Kentucky,5.35
1995,Kentucky,5.4
1996,Kentucky,5.3833
1997,Kentucky,5.225
1998,Kentucky,4.5083
1999,Kentucky,4.4917
2000,Kentucky,4.1417
2001,Kentucky,5.2083
2002,Kentucky,5.7917
2003,Kentucky,6.1917
2004,Kentucky,5.5
2005,Kentucky,5.875
2006,Kentucky,5.725
2007,Kentucky,5.3667
2008,Kentucky,6.525
2009,Kentucky,10.7667
2010,Kentucky,10.2667
2011,Kentucky,9.375
2012,Kentucky,8.2
2013,Kentucky,7.9167
2014,Kentucky,6.4167
2015,Kentucky,5.2333
2016,Kentucky,5.0333
2017,Kentucky,4.775
2018,Kentucky,4.2
2019,Kentucky,4.0917
2020,Kentucky,6.4667
2021,Kentucky,4.4667
2022,Kentucky,4.025
2023,Kentucky,4.1583
1993,Kansas,4.9417
1994,Kansas,4.7833
1995,Kansas,4.3583
1996,Kansas,4.25
1997,Kansas,3.7917
1998,Kansas,3.675
1999,Kansas,3.4833
2000,Kansas,3.775
2001,Kansas,4.2667
2002,Kansas,5.0833
2003,Kansas,5.55
2004,Kansas,5.5083
2005,Kansas,5.0667
2006,Kansas,4.425
2007,Kansas,4.2333
2008,Kansas,4.6083
2009,Kansas,6.8917
2010,Kansas,6.9333
2011,Kansas,6.3833
2012,Kansas,5.7167
2013,Kansas,5.3
2014,Kansas,4.5083
2015,Kansas,4.15
2016,Kansas,4.0167
2017,Kansas,3.6167
2018,Kansas,3.3583
2019,Kansas,3.1583
2020,Kansas,5.8167
2021,Kansas,3.35
2022,Kansas,2.625
2023,Kansas,2.65
1993,Louisiana,7.4583
1994,Louisiana,7.65
1995,Louisiana,6.8667
1996,Louisiana,6.4583
1997,Louisiana,5.8833
1998,Louisiana,5.5167
1999,Louisiana,4.975
2000,Louisiana,5.15
2001,Louisiana,5.6
2002,Louisiana,5.9917
2003,Louisiana,6.2833
2004,Louisiana,5.7
2005,Louisiana,7.0583
2006,Louisiana,4.1333
2007,Louisiana,4.0917
2008,Louisiana,4.6667
2009,Louisiana,6.7917
2010,Louisiana,7.5167
2011,Louisiana,7.4333
2012,Louisiana,6.7667
2013,Louisiana,6.4167
2014,Louisiana,6.25
2015,Louisiana,6.2917
2016,Louisiana,6.0667
2017,Louisiana,5.1083
2018,Louisiana,4.825
2019,Louisiana,4.625
2020,Louisiana,8.6917
2021,Louisiana,5.6
2022,Louisiana,3.6333
2023,Louisiana,3.6417
1993,Maine,6.8167
1994,Maine,6.5667
1995,Maine,5.875
1996,Maine,5.325
1997,Maine,5.1917
1998,Maine,4.4583
1999,Maine,4.0083
2000,Maine,3.3333
2001,Maine,3.75
2002,Maine,4.4583
2003,Maine,5.15
2004,Maine,4.6583
2005,Maine,4.8917
2006,Maine,4.7167
2007,Maine,4.6917
2008,Maine,5.4
2009,Maine,8.3917
2010,Maine,8.4167
2011,Maine,7.725
2012,Maine,7.1917
2013,Maine,6.6833
2014,Maine,5.5583
2015,Maine,4.3833
2016,Maine,3.775
2017,Maine,3.3583
2018,Maine,3.175
2019,Maine,2.9083
2020,Maine,5.1167
2021,Maine,4.6667
2022,Maine,2.85
2023,Maine,2.8333
1993,Maryland,5.9917
1994,Maryland,5.2
1995,Maryland,4.9833
1996,Maryland,4.9333
1997,Maryland,4.8083
1998,Maryland,4.2417
1999,Maryland,3.4583
2000,Maryland,3.5167
2001,Maryland,4.2083
2002,Maryland,4.775
2003,Maryland,4.8
2004,Maryland,4.6167
2005,Maryland,4.475
2006,Maryland,4.175
2007,Maryland,3.7333
2008,Maryland,4.525
2009,Maryland,7.55
2010,Maryland,7.825
2011,Maryland,7.3167
2012,Maryland,6.8667
2013,Maryland,6.5167
2014,Maryland,5.7333
2015,Maryland,4.9917
2016,Maryland,4.2917
2017,Maryland,4
2018,Maryland,3.8167
2019,Maryland,3.375
2020,Maryland,6.4667
2021,Maryland,5.225
2022,Maryland,2.9833
2023,Maryland,2.1
1993,Massachusetts,7.3
1994,Massachusetts,6.2333
1995,Massachusetts,5.4583
1996,Massachusetts,4.6167
1997,Massachusetts,4.0583
1998,Massachusetts,3.375
1999,Massachusetts,3.2833
2000,Massachusetts,2.8167
2001,Massachusetts,3.7833
2002,Massachusetts,5.2167
2003,Massachusetts,5.7333
2004,Massachusetts,5.1083
2005,Massachusetts,4.8
2006,Massachusetts,4.7
2007,Massachusetts,4.5167
2008,Massachusetts,5.3333
2009,Massachusetts,8.075
2010,Massachusetts,8.0583
2011,Massachusetts,7.225
2012,Massachusetts,6.7
2013,Massachusetts,6.6417
2014,Massachusetts,5.7417
2015,Massachusetts,4.7917
2016,Massachusetts,4.0417
2017,Massachusetts,3.7917
2018,Massachusetts,3.475
2019,Massachusetts,3.025
2020,Massachusetts,9.375
2021,Massachusetts,5.4
2022,Massachusetts,3.6583
2023,Massachusetts,3.3417
1993,Michigan,7.35
1994,Michigan,6.0833
1995,Michigan,5.3167
1996,Michigan,4.8917
1997,Michigan,4.2917
1998,Michigan,3.975
1999,Michigan,3.7417
2000,Michigan,3.6917
2001,Michigan,5.1583
2002,Michigan,6.1917
2003,Michigan,7.0917
2004,Michigan,6.95
2005,Michigan,6.7917
2006,Michigan,7.0333
2007,Michigan,7.0833
2008,Michigan,8.2167
2009,Michigan,13.1333
2010,Michigan,12.1917
2011,Michigan,10.0083
2012,Michigan,9.0583
2013,Michigan,8.725
2014,Michigan,7.2333
2015,Michigan,5.425
2016,Michigan,5.0083
2017,Michigan,4.575
2018,Michigan,4.1583
2019,Michigan,4.05
2020,Michigan,10.05
2021,Michigan,5.7667
2022,Michigan,4.1333
2023,Michigan,3.8917
1993,Minnesota,4.8417
1994,Minnesota,4.0167
1995,Minnesota,3.6667
1996,Minnesota,3.7833
1997,Minnesota,3.225
1998,Minnesota,2.675
1999,Minnesota,2.7083
2000,Minnesota,3.0333
2001,Minnesota,3.775
2002,Minnesota,4.4667
2003,Minnesota,4.7833
2004,Minnesota,4.5833
2005,Minnesota,4.1
2006,Minnesota,4.0583
2007,Minnesota,4.5833
2008,Minnesota,5.4333
2009,Minnesota,7.9083
2010,Minnesota,7.3917
2011,Minnesota,6.525
2012,Minnesota,5.65
2013,Minnesota,5.0417
2014,Minnesota,4.2667
2015,Minnesota,3.7917
2016,Minnesota,3.875
2017,Minnesota,3.4833
2018,Minnesota,3.025
2019,Minnesota,3.275
2020,Minnesota,6.2833
2021,Minnesota,3.7
2022,Minnesota,2.5333
2023,Minnesota,2.825
1993,Missouri,6.225
1994,Missouri,5.175
1995,Missouri,4.825
1996,Missouri,4.7083
1997,Missouri,4.35
1998,Missouri,4.0333
1999,Missouri,3.2333
2000,Missouri,3.4167
2001,Missouri,4.4917
2002,Missouri,5.2833
2003,Missouri,5.6583
2004,Missouri,5.875
2005,Missouri,5.4
2006,Missouri,4.875
2007,Missouri,5.0833
2008,Missouri,6.2167
2009,Missouri,9.025
2010,Missouri,9.5083
2011,Missouri,8.6417
2012,Missouri,7.1917
2013,Missouri,6.775
2014,Missouri,6.15
2015,Missouri,5.1083
2016,Missouri,4.55
2017,Missouri,3.7417
2018,Missouri,3.2417
2019,Missouri,3.25
2020,Missouri,6.2167
2021,Missouri,4.1417
2022,Missouri,2.6
2023,Missouri,3.0583
1993,Mississippi,6.7333
1994,Mississippi,6.2917
1995,Mississippi,6.2
1996,Mississippi,5.9917
1997,Mississippi,5.7
1998,Mississippi,5.2417
1999,Mississippi,5.1083
2000,Mississippi,5.325
2001,Mississippi,5.4917
2002,Mississippi,6.425
2003,Mississippi,6.1417
2004,Mississippi,6.1583
2005,Mississippi,7.6
2006,Mississippi,6.375
2007,Mississippi,6.15
2008,Mississippi,6.7083
2009,Mississippi,9.3583
2010,Mississippi,10.0833
2011,Mississippi,9.775
2012,Mississippi,8.825
2013,Mississippi,8.4917
2014,Mississippi,7.5917
2015,Mississippi,6.4833
2016,Mississippi,5.9667
2017,Mississippi,5.2333
2018,Mississippi,4.9583
2019,Mississippi,5.5
2020,Mississippi,8.0333
2021,Mississippi,5.4583
2022,Mississippi,3.7833
2023,Mississippi,3.2
1993,Montana,6.1167
1994,Montana,5.4917
1995,Montana,5.7083
1996,Montana,5.5583
1997,Montana,5.5
1998,Montana,5.6083
1999,Montana,5.3083
2000,Montana,4.8333
2001,Montana,4.6083
2002,Montana,4.55
2003,Montana,4.7417
2004,Montana,4.5083
2005,Montana,4.0667
2006,Montana,3.3417
2007,Montana,3.3583
2008,Montana,4.725
2009,Montana,7.1167
2010,Montana,7.1833
2011,Montana,6.625
2012,Montana,5.8
2013,Montana,5.3417
2014,Montana,4.6667
2015,Montana,4.2917
2016,Montana,4.325
2017,Montana,4.0917
2018,Montana,3.75
2019,Montana,3.5
2020,Montana,5.8417
2021,Montana,3.4
2022,Montana,2.6833
2023,Montana,2.8583
1993,Nebraska,2.7667
1994,Nebraska,2.6167
1995,Nebraska,2.6333
1996,Nebraska,2.6667
1997,Nebraska,2.4083
1998,Nebraska,2.5083
1999,Nebraska,2.7167
2000,Nebraska,2.7917
2001,Nebraska,3.15
2002,Nebraska,3.6833
2003,Nebraska,3.9417
2004,Nebraska,3.9083
2005,Nebraska,3.7583
2006,Nebraska,3.0417
2007,Nebraska,2.925
2008,Nebraska,3.2583
2009,Nebraska,4.6583
2010,Nebraska,4.7
2011,Nebraska,4.4
2012,Nebraska,3.8833
2013,Nebraska,3.675
2014,Nebraska,3.25
2015,Nebraska,2.9833
2016,Nebraska,3.0667
2017,Nebraska,2.975
2018,Nebraska,2.925
2019,Nebraska,3.125
2020,Nebraska,4.275
2021,Nebraska,2.5833
2022,Nebraska,2.1417
2023,Nebraska,2.2667
1993,Nevada,6.9
1994,Nevada,6.2417
1995,Nevada,5.5667
1996,Nevada,5.0583
1997,Nevada,4.375
1998,Nevada,4.175
1999,Nevada,3.9667
2000,Nevada,4.1167
2001,Nevada,5.1917
2002,Nevada,5.6833
2003,Nevada,5.2833
2004,Nevada,4.4583
2005,Nevada,4.125
2006,Nevada,4.0667
2007,Nevada,4.5917
2008,Nevada,6.8833
2009,Nevada,11.725
2010,Nevada,13.7333
2011,Nevada,13.3167
2012,Nevada,11.6083
2013,Nevada,9.9667
2014,Nevada,8.1583
2015,Nevada,6.85
2016,Nevada,5.8083
2017,Nevada,4.9833
2018,Nevada,4.3833
2019,Nevada,4.15
2020,Nevada,13.7167
2021,Nevada,6.8333
2022,Nevada,5.2
2023,Nevada,5.1417
1993,New Hampshire,6.1
1994,New Hampshire,4.4917
1995,New Hampshire,3.825
1996,New Hampshire,3.7417
1997,New Hampshire,3.3667
1998,New Hampshire,2.8333
1999,New Hampshire,2.75
2000,New Hampshire,2.65
2001,New Hampshire,3.3917
2002,New Hampshire,4.4917
2003,New Hampshire,4.4667
2004,New Hampshire,3.8
2005,New Hampshire,3.625
2006,New Hampshire,3.5333
2007,New Hampshire,3.525
2008,New Hampshire,3.7667
2009,New Hampshire,6.1417
2010,New Hampshire,6.0833
2011,New Hampshire,5.45
2012,New Hampshire,5.4667
2013,New Hampshire,5.25
2014,New Hampshire,4.325
2015,New Hampshire,3.3917
2016,New Hampshire,2.8833
2017,New Hampshire,2.8083
2018,New Hampshire,2.625
2019,New Hampshire,2.575
2020,New Hampshire,6.7417
2021,New Hampshire,3.4083
2022,New Hampshire,2.275
2023,New Hampshire,2.1667
1993,New Jersey,7.775
1994,New Jersey,6.825
1995,New Jersey,6.4167
1996,New Jersey,6.1167
1997,New Jersey,5.325
1998,New Jersey,4.5583
1999,New Jersey,4.4
2000,New Jersey,3.65
2001,New Jersey,4.2333
2002,New Jersey,5.7667
2003,New Jersey,5.8417
2004,New Jersey,4.925
2005,New Jersey,4.4417
2006,New Jersey,4.6167
2007,New Jersey,4.2083
2008,New Jersey,5.45
2009,New Jersey,8.9333
2010,New Jersey,9.6583
2011,New Jersey,9.375
2012,New Jersey,9.3833
2013,New Jersey,8.375
2014,New Jersey,6.7333
2015,New Jersey,5.7
2016,New Jersey,4.9417
2017,New Jersey,4.5333
2018,New Jersey,4.0083
2019,New Jersey,3.4583
2020,New Jersey,9.475
2021,New Jersey,6.7083
2022,New Jersey,3.8667
2023,New Jersey,4.4167
1993,New Mexico,7.2833
1994,New Mexico,6.5333
1995,New Mexico,6.65
1996,New Mexico,7.4833
1997,New Mexico,6.4333
1998,New Mexico,6.2417
1999,New Mexico,5.6
2000,New Mexico,5.025
2001,New Mexico,4.9583
2002,New Mexico,5.4833
2003,New Mexico,5.9
2004,New Mexico,5.5583
2005,New Mexico,5.1833
2006,New Mexico,4.2333
2007,New Mexico,3.5917
2008,New Mexico,4.3
2009,New Mexico,7.05
2010,New Mexico,7.775
2011,New Mexico,7.2167
2012,New Mexico,6.9667
2013,New Mexico,6.9083
2014,New Mexico,6.5917
2015,New Mexico,6.6
2016,New Mexico,6.75
2017,New Mexico,6.0417
2018,New Mexico,4.925
2019,New Mexico,4.9583
2020,New Mexico,7.925
2021,New Mexico,7.0667
2022,New Mexico,4.0583
2023,New Mexico,3.75
1993,New York,7.925
1994,New York,6.9167
1995,New York,6.3333
1996,New York,6.2583
1997,New York,6.4
1998,New York,5.6
1999,New York,5.1833
2000,New York,4.5083
2001,New York,4.875
2002,New York,6.2
2003,New York,6.4
2004,New York,5.7917
2005,New York,4.9583
2006,New York,4.5333
2007,New York,4.4333
2008,New York,5.4083
2009,New York,8.3667
2010,New York,8.7167
2011,New York,8.3583
2012,New York,8.625
2013,New York,7.7917
2014,New York,6.2917
2015,New York,5.2333
2016,New York,4.875
2017,New York,4.6333
2018,New York,4.1
2019,New York,3.8583
2020,New York,9.8917
2021,New York,7.0917
2022,New York,4.325
2023,New York,4.2083
1993,North Carolina,5.1167
1994,North Carolina,4.4167
1995,North Carolina,4.3583
1996,North Carolina,4.3417
1997,North Carolina,3.8333
1998,North Carolina,3.5333
1999,North Carolina,3.2833
2000,North Carolina,3.7583
2001,North Carolina,5.625
2002,North Carolina,6.925
2003,North Carolina,6.7167
2004,North Carolina,5.8583
2005,North Carolina,5.6
2006,North Carolina,5.1333
2007,North Carolina,5.0917
2008,North Carolina,6.2083
2009,North Carolina,11.0333
2010,North Carolina,10.7167
2011,North Carolina,10.2333
2012,North Carolina,9.5167
2013,North Carolina,7.7333
2014,North Carolina,6.1083
2015,North Carolina,5.6583
2016,North Carolina,5.1
2017,North Carolina,4.525
2018,North Carolina,3.9917
2019,North Carolina,3.8833
2020,North Carolina,7.2833
2021,North Carolina,4.8833
2022,North Carolina,3.6833
2023,North Carolina,3.4583
1993,North Dakota,4.275
1994,North Dakota,3.7083
1995,North Dakota,3.3167
1996,North Dakota,3.1417
1997,North Dakota,2.95
1998,North Dakota,2.95
1999,North Dakota,3.1417
2000,North Dakota,2.925
2001,North Dakota,2.8333
2002,North Dakota,3.375
2003,North Dakota,3.475
2004,North Dakota,3.3833
2005,North Dakota,3.3083
2006,North Dakota,3.1
2007,North Dakota,3.0167
2008,North Dakota,3.1083
2009,North Dakota,3.9167
2010,North Dakota,3.6917
2011,North Dakota,3.3583
2012,North Dakota,2.9333
2013,North Dakota,2.8917
2014,North Dakota,2.6167
2015,North Dakota,2.7833
2016,North Dakota,3.1
2017,North Dakota,2.6083
2018,North Dakota,2.4083
