STATE,AVERAGE CORPORATE TAX RT,YEAR,PROGRESSIVE,,
North Carolina,2.5,2020,0,,
North Dakota,2.86,2020,1,,
Ohio,0,2020,0,,
Oklahoma,6,2020,0,,
Oregon,7.1,2020,1,,
Pennsylvania,9.99,2020,0,,
Rhode Island,7,2020,0,,
South Carolina,5,2020,0,,
South Dakota,0,2020,0,,
Tennessee,6.5,2020,0,,
Texas,0,2020,0,,
Utah,4.95,2020,0,,
Vermont,7.25,2020,1,,
Virginia,6,2020,0,,
Washington,0,2020,0,,
West Virginia,6.5,2020,0,,
Wisconsin,7.9,2020,0,,
Wyoming,0,2020,0,,
Dist. of Columbia,8.25,2020,0,,
Alabama,6.5,2019,0,,
Alaska,4.7,2019,1,,
Arizona,4.9,2019,0,,
Arkansas,3.75,2019,1,,
California,8.84,2019,0,,
Colorado,4.63,2019,0,,
Connecticut,7.5,2019,0,,
Delaware,8.7,2019,0,,
Florida,5.5,2019,0,,
Georgia,5.75,2019,0,,
Hawaii,5.4,2019,1,,
Idaho,6.925,2019,0,,
Illinois,9.5,2019,0,,
Indiana,5.75,2019,0,,
Iowa,9,2019,1,,
Kansas,4,2019,0,,
Kentucky,5,2019,0,,
Louisiana,6,2019,1,,
Maine,6.215,2019,1,,
Maryland,8.25,2019,0,,
Massachusetts,8,2019,0,,
Michigan,6,2019,0,,
Minnesota,9.8,2019,0,,
Mississippi,5,2019,1,,
Missouri,6.25,2019,0,,
Montana,6.75,2019,0,,
Nebraska,6.69,2019,1,,
Nevada,0,2019,0,,
New Hampshire,7.7,2019,0,,
New Jersey,9,2019,0,,
New Mexico,5.35,2019,1,,
New York,6.5,2019,0,,
North Carolina,2.5,2019,0,,
North Dakota,2.86,2019,1,,
Ohio,0,2019,0,,
Oklahoma,6,2019,0,,
Oregon,7.1,2019,1,,
Pennsylvania,9.99,2019,0,,
Rhode Island,7,2019,0,,
South Carolina,5,2019,0,,
South Dakota,0,2019,0,,
Tennessee,6.5,2019,0,,
Texas,0,2019,0,,
Utah,4.95,2019,0,,
Vermont,7.25,2019,1,,
Virginia,6,2019,0,,
Washington,0,2019,0,,
West Virginia,6.5,2019,0,,
Wisconsin,7.9,2019,0,,
Wyoming,0,2019,0,,
Dist. of Columbia,8.25,2019,0,,
Alabama,6.5,2018,0,,
Alaska,4.7,2018,1,,
Arizona,4.9,2018,0,,
Arkansas,3.75,2018,1,,
California,8.84,2018,0,,
Colorado,4.63,2018,0,,
Connecticut,7.5,2018,0,,
Delaware,8.7,2018,0,,
Florida,5.5,2018,0,,
Georgia,6,2018,0,,
Hawaii,5.4,2018,1,,
Idaho,7.4,2018,0,,
Illinois,9.5,2018,0,,
Indiana,6,2018,0,,
Iowa,9,2018,1,,
Kansas,4,2018,0,,
Kentucky,5,2018,1,,
Louisiana,6,2018,1,,
Maine,6.215,2018,1,,
Maryland,8.25,2018,0,,
Massachusetts,8,2018,0,,
Michigan,6,2018,0,,
Minnesota,9.8,2018,0,,
Mississippi,4,2018,1,,
Missouri,6.25,2018,0,,
Montana,6.75,2018,0,,
Nebraska,6.695,2018,1,,
Nevada,0,2018,0,,
New Hampshire,8.2,2018,0,,
New Jersey,9,2018,0,,
New Mexico,5.35,2018,1,,
New York,6.5,2018,0,,
North Carolina,3,2018,0,,
North Dakota,2.86,2018,1,,
Ohio,0,2018,0,,
Oklahoma,6,2018,0,,
Oregon,7.1,2018,1,,
Pennsylvania,9.99,2018,0,,
Rhode Island,7,2018,0,,
South Carolina,5,2018,0,,
South Dakota,0,2018,0,,
Tennessee,6.5,2018,0,,
Texas,0,2018,0,,
Utah,5,2018,0,,
Vermont,7.25,2018,1,,
Virginia,6,2018,0,,
Washington,0,2018,0,,
West Virginia,6.5,2018,0,,
Wisconsin,7.9,2018,0,,
Wyoming,0,2018,0,,
Dist. of Columbia,8.25,2018,0,,
Alabama,6.5,2017,0,,
Alaska,4.7,2017,1,,
Arizona,4.9,2017,0,,
Arkansas,3.75,2017,1,,
California,8.4,2017,0,,
Colorado,4.63,2017,0,,
Connecticut,7.5,2017,0,,
Delaware,8.7,2017,0,,
Florida,5.5,2017,0,,
Georgia,6,2017,0,,
Hawaii,5.4,2017,1,,
Idaho,7.4,2017,0,,
Illinois,7.75,2017,0,,
Indiana,6.25,2017,0,,
Iowa,9,2017,1,,
Kansas,4,2017,0,,
Kentucky,5,2017,1,,
Louisiana,6,2017,1,,
Maine,6.215,2017,1,,
Maryland,8.25,2017,0,,
Massachusetts,8,2017,0,,
Michigan,6,2017,0,,
Minnesota,9.8,2017,0,,
Mississippi,4,2017,1,,
Missouri,6.25,2017,0,,
Montana,6.75,2017,0,,
Nebraska,6.695,2017,1,,
Nevada,0,2017,0,,
New Hampshire,8.2,2017,0,,
New Jersey,9,2017,0,,
New Mexico,5.5,2017,1,,
New York,6.5,2017,0,,
North Carolina,3,2017,0,,
North Dakota,2.86,2017,1,,
Ohio,0,2017,0,,
Oklahoma,6,2017,0,,
Oregon,7.1,2017,1,,
Pennsylvania,9.99,2017,0,,
Rhode Island,7,2017,0,,
South Carolina,5,2017,0,,
South Dakota,0,2017,0,,
Tennessee,6.5,2017,0,,
Texas,0,2017,0,,
Utah,5,2017,0,,
Vermont,7.25,2017,1,,
Virginia,6,2017,0,,
Washington,0,2017,0,,
West Virginia,6.5,2017,0,,
Wisconsin,7.9,2017,0,,
Wyoming,0,2017,0,,
Dist. of Columbia,9,2017,0,,
Alabama,6.5,2016,0,,
Alaska,4.7,2016,1,,
Arizona,5.5,2016,0,,
Arkansas,1,2016,0,,
California,8.84,2016,0,,
Colorado,4.63,2016,0,,
Connecticut,7.5,2016,0,,
Delaware,8.7,2016,0,,
Florida,5.5,2016,0,,
Georgia,6,2016,0,,
Hawaii,5.4,2016,1,,
Idaho,7.4,2016,0,,
Illinois,7.75,2016,0,,
Indiana,6.5,2016,0,,
Iowa,9,2016,1,,
Kansas,4,2016,0,,
Kentucky,5,2016,1,,
Louisiana,6,2016,1,,
Maine,6.215,2016,1,,
Maryland,8.25,2016,0,,
Massachusetts,8,2016,0,,
Michigan,6,2016,0,,
Minnesota,9.8,2016,0,,
Mississippi,4,2016,1,,
Missouri,6.25,2016,0,,
Montana,6.75,2016,0,,
Nebraska,6.695,2016,1,,
Nevada,0,2016,0,,
New Hampshire,8.5,2016,0,,
New Jersey,9,2016,0,,
New Mexico,5.7,2016,1,,
New York,6.5,2016,0,,
North Carolina,4,2016,0,,
North Dakota,2.86,2016,1,,
Ohio,0,2016,0,,
Oklahoma,6,2016,0,,
Oregon,7.1,2016,1,,
Pennsylvania,9.99,2016,0,,
Rhode Island,7,2016,0,,
South Carolina,5,2016,0,,
South Dakota,0,2016,0,,
Tennessee,6.5,2016,0,,
Texas,0,2016,0,,
Utah,5,2016,0,,
Vermont,6.25,2016,1,,
Virginia,6,2016,0,,
Washington,0,2016,0,,
West Virginia,6.5,2016,0,,
Wisconsin,7.9,2016,0,,
Wyoming,0,2016,0,,
Dist. of Columbia,9.4,2016,0,,
Alabama,6.5,2015,0,,
Alaska,4.7,2015,1,,
Arizona,6.5,2015,0,,
Arkansas,3.75,2015,1,,
California,8.84,2015,0,,
Colorado,4.63,2015,0,,
Connecticut,7.5,2015,0,,
Delaware,8.7,2015,0,,
Florida,5.5,2015,0,,
Georgia,6,2015,0,,
Hawaii,5.4,2015,1,,
Idaho,7.4,2015,0,,
Illinois,7.75,2015,0,,
Indiana,7,2015,0,,
Iowa,9,2015,1,,
Kansas,4,2015,0,,
Kentucky,5,2015,1,,
Louisiana,6,2015,1,,
Maine,6.215,2015,1,,
Maryland,8.25,2015,0,,
Massachusetts,8,2015,0,,
Michigan,6,2015,0,,
Minnesota,9.8,2015,0,,
Mississippi,4,2015,1,,
Missouri,6.25,2015,0,,
Montana,6.75,2015,0,,
Nebraska,6.695,2015,1,,
Nevada,0,2015,0,,
New Hampshire,8.5,2015,0,,
New Jersey,9,2015,0,,
New Mexico,5.85,2015,1,,
New York,7.1,2015,0,,
North Carolina,5,2015,0,,
North Dakota,3,2015,1,,
Ohio,0,2015,0,,
Oklahoma,6,2015,0,,
Oregon,7.1,2015,1,,
Pennsylvania,9.99,2015,0,,
Rhode Island,7,2015,0,,
South Carolina,5,2015,0,,
South Dakota,0,2015,0,,
Tennessee,6.5,2015,0,,
Texas,0,2015,0,,
Utah,5,2015,0,,
Vermont,7.25,2015,1,,
Virginia,6,2015,0,,
Washington,0,2015,0,,
West Virginia,6.5,2015,0,,
Wisconsin,7.9,2015,0,,
Wyoming,0,2015,0,,
Dist. of Columbia,9.4,2015,0,,
Alabama,6.5,2014,0,,
Alaska,4.7,2014,1,,
Arizona,6.5,2014,0,,
Arkansas,3.75,2014,1,,
California,8.84,2014,0,,
Colorado,4.63,2014,0,,
Connecticut,7.5,2014,0,,
Delaware,8.7,2014,0,,
Florida,5.5,2014,0,,
Georgia,6,2014,0,,
Hawaii,5.4,2014,1,,
Idaho,7.4,2014,0,,
Illinois,9.5,2014,0,,
Indiana,7.5,2014,0,,
Iowa,9,2014,1,,
Kansas,4,2014,0,,
Kentucky,5,2014,1,,
Louisiana,6,2014,1,,
Maine,6.215,2014,1,,
Maryland,8.25,2014,0,,
Massachusetts,8,2014,0,,
Michigan,6,2014,0,,
Minnesota,9.8,2014,0,,
Mississippi,4,2014,1,,
Missouri,6.25,2014,0,,
Montana,6.75,2014,0,,
Nebraska,6.695,2014,1,,
Nevada,0,2014,0,,
New Hampshire,8.5,2014,0,,
New Jersey,9,2014,0,,
New Mexico,6.05,2014,1,,
New York,7.1,2014,0,,
North Carolina,6,2014,0,,
North Dakota,3.105,2014,1,,
Ohio,0,2014,0,,
Oklahoma,6,2014,0,,
Oregon,7.1,2014,1,,
Pennsylvania,9.99,2014,0,,
Rhode Island,9,2014,0,,
South Carolina,5,2014,0,,
South Dakota,0,2014,0,,
Tennessee,6.5,2014,0,,
Texas,0,2014,0,,
Utah,5,2014,0,,
Vermont,7.25,2014,1,,
Virginia,6,2014,0,,
Washington,0,2014,0,,
West Virginia,6.5,2014,0,,
Wisconsin,7.9,2014,0,,
Wyoming,0,2014,0,,
Dist. of Columbia,9.975,2014,0,,
Alabama,6.5,2013,0,,
Alaska,5.2,2013,1,,
Arizona,6.968,2013,0,,
Arkansas,3.75,2013,1,,
California,8.84,2013,0,,
Colorado,4.63,2013,0,,
Connecticut,7.5,2013,0,,
Delaware,8.7,2013,0,,
Florida,5.5,2013,0,,
Georgia,6,2013,0,,
Hawaii,5.4,2013,1,,
Idaho,7.4,2013,0,,
Illinois,9.5,2013,0,,
Indiana,8,2013,0,,
Iowa,9,2013,1,,
Kansas,4,2013,0,,
Kentucky,5,2013,1,,
Louisiana,6,2013,1,,
Maine,6.215,2013,1,,
Maryland,8.25,2013,0,,
Massachusetts,8,2013,0,,
Michigan,6,2013,0,,
Minnesota,9.8,2013,0,,
Mississippi,4,2013,1,,
Missouri,6.25,2013,0,,
Montana,6.75,2013,0,,
Nebraska,6.695,2013,1,,
Nevada,0,2013,0,,
New Hampshire,8.5,2013,0,,
New Jersey,9,2013,0,,
New Mexico,6.2,2013,1,,
New York,7.1,2013,0,,
North Carolina,6.9,2013,0,,
North Dakota,3.415,2013,1,,
Ohio,0,2013,0,,
Oklahoma,6,2013,0,,
Oregon,7.1,2013,1,,
Pennsylvania,9.99,2013,0,,
Rhode Island,9,2013,0,,
South Carolina,5,2013,0,,
South Dakota,0,2013,0,,
Tennessee,6.5,2013,0,,
Texas,0,2013,0,,
Utah,5,2013,0,,
Vermont,7.25,2013,1,,
Virginia,6,2013,0,,
Washington,0,2013,0,,
West Virginia,7,2013,0,,
Wisconsin,7.9,2013,0,,
Wyoming,0,2013,0,,
Dist. of Columbia,9.975,2013,0,,
Alabama,6.5,2012,0,,
Alaska,5.2,2012,1,,
Arizona,6.968,2012,0,,
Arkansas,3.75,2012,1,,
California,8.84,2012,0,,
Colorado,4.63,2012,0,,
Connecticut,7.5,2012,0,,
Delaware,8.7,2012,0,,
Florida,5.5,2012,0,,
Georgia,6,2012,0,,
Hawaii,5.4,2012,1,,
Idaho,7.6,2012,0,,
Illinois,9.5,2012,0,,
Indiana,8.5,2012,0,,
Iowa,9,2012,1,,
Kansas,4,2012,0,,
Kentucky,5,2012,1,,
Louisiana,6,2012,1,,
Maine,6.215,2012,1,,
Maryland,8.25,2012,0,,
Massachusetts,8,2012,0,,
Michigan,6,2012,0,,
Minnesota,9.8,2012,0,,
Mississippi,4,2012,1,,
Missouri,6.25,2012,0,,
Montana,6.75,2012,0,,
Nebraska,6.695,2012,1,,
Nevada,0,2012,0,,
New Hampshire,8.5,2012,0,,
New Jersey,9,2012,0,,
New Mexico,6.2,2012,1,,
New York,7.1,2012,0,,
North Carolina,6.9,2012,0,,
North Dakota,3.45,2012,1,,
Ohio,0,2012,0,,
Oklahoma,6,2012,0,,
Oregon,7.1,2012,1,,
Pennsylvania,9.99,2012,0,,
Rhode Island,9,2012,0,,
South Carolina,5,2012,0,,
South Dakota,6.5,2012,0,,
Tennessee,0,2012,0,,
Texas,0,2012,0,,
Utah,5,2012,0,,
Vermont,7.25,2012,1,,
Virginia,6,2012,0,,
Washington,0,2012,0,,
West Virginia,7.5,2012,0,,
Wisconsin,7.9,2012,0,,
Wyoming,0,2012,0,,
Dist. of Columbia,9.975,2012,0,,
Alabama,6.5,2011,0,,
Alaska,5.2,2011,1,,
Arizona,6.968,2011,0,,
Arkansas,3.75,2011,1,,
California,8.84,2011,0,,
Colorado,4.63,2011,0,,
Connecticut,7.5,2011,0,,
Delaware,8.7,2011,0,,
Florida,5.5,2011,0,,
Georgia,6,2011,0,,
Hawaii,5.4,2011,1,,
Idaho,7.6,2011,0,,
Illinois,9.5,2011,0,,
Indiana,8.5,2011,0,,
Iowa,9,2011,1,,
Kansas,4,2011,0,,
Kentucky,5,2011,1,,
Louisiana,6,2011,1,,
Maine,6.215,2011,1,,
Maryland,8.25,2011,0,,
Massachusetts,8.75,2011,0,,
Michigan,4.95,2011,0,,
Minnesota,9.8,2011,0,,
Mississippi,4,2011,1,,
Missouri,6.25,2011,0,,
Montana,6.75,2011,0,,
Nebraska,6.695,2011,1,,
Nevada,0,2011,0,,
New Hampshire,8.5,2011,0,,
New Jersey,9,2011,0,,
New Mexico,6.2,2011,1,,
New York,7.1,2011,0,,
North Carolina,6.9,2011,0,,
North Dakota,6.58,2011,1,,
Ohio,0,2011,0,,
Oklahoma,6,2011,0,,
Oregon,7.1,2011,1,,
Pennsylvania,9.99,2011,0,,
Rhode Island,9,2011,0,,
South Carolina,5,2011,0,,
South Dakota,0,2011,0,,
Tennessee,6.5,2011,0,,
Texas,0,2011,0,,
Utah,5,2011,0,,
Vermont,7.25,2011,1,,
Virginia,6,2011,0,,
Washington,0,2011,0,,
West Virginia,8.5,2011,0,,
Wisconsin,7.9,2011,0,,
Wyoming,0,2011,0,,
Dist. of Columbia,9.975,2011,0,,
Alabama,6.5,2010,0,,
Alaska,5.2,2010,1,,
Arizona,6.968,2010,0,,
Arkansas,3.75,2010,1,,
California,8.84,2010,0,,
Colorado,4.63,2010,0,,
Connecticut,7.5,2010,0,,
Delaware,8.7,2010,0,,
Florida,5.5,2010,0,,
Georgia,6,2010,0,,
Hawaii,5.4,2010,1,,
Idaho,7.6,2010,0,,
Illinois,7.3,2010,0,,
Indiana,8.5,2010,0,,
Iowa,9,2010,1,,
Kansas,4,2010,0,,
Kentucky,5,2010,1,,
Louisiana,5,2010,1,,
Maine,6.125,2010,1,,
Maryland,8.25,2010,0,,
Massachusetts,8.75,2010,0,,
Michigan,4.95,2010,0,,
Minnesota,9.8,2010,0,,
Mississippi,4,2010,1,,
Missouri,6.25,2010,0,,
Montana,6.75,2010,0,,
Nebraska,6.69,2010,1,,
Nevada,0,2010,0,,
New Hampshire,8.5,2010,0,,
New Jersey,9,2010,0,,
New Mexico,6.2,2010,1,,
New York,7.1,2010,0,,
North Carolina,6.9,2010,0,,
North Dakota,4.25,2010,1,,
Ohio,0,2010,0,,
Oklahoma,6,2010,0,,
Oregon,7.25,2010,1,,
Pennsylvania,9.99,2010,0,,
Rhode Island,9,2010,0,,
South Carolina,5,2010,0,,
South Dakota,0,2010,0,,
Tennessee,6.5,2010,0,,
Texas,0,2010,0,,
Utah,5,2010,0,,
Vermont,7.25,2010,1,,
Virginia,6,2010,0,,
Washington,0,2010,0,,
West Virginia,8.5,2010,0,,
Wisconsin,7.9,2010,0,,
Wyoming,0,2010,0,,
Dist. of Columbia,9.975,2010,0,,
Alabama,6.5,2009,0,,
Alaska,5.2,2009,1,,
Arizona,6.968,2009,0,,
Arkansas,3.75,2009,1,,
California,8.84,2009,0,,
Colorado,4.63,2009,0,,
Connecticut,7.5,2009,0,,
Delaware,8.7,2009,0,,
Florida,5.5,2009,0,,
Georgia,6,2009,0,,
Hawaii,5.4,2009,1,,
Idaho,7.6,2009,0,,
Illinois,7.3,2009,0,,
Indiana,8.6,2009,0,,
Iowa,9,2009,1,,
Kansas,5.55,2009,1,,
Kentucky,5,2009,1,,
Louisiana,6,2009,1,,
Maine,6.215,2009,1,,
Maryland,8.25,2009,0,,
Massachusetts,9.5,2009,0,,
Michigan,4.95,2009,0,,
Minnesota,9.8,2009,0,,
Mississippi,4,2009,1,,
Missouri,6.25,2009,0,,
Montana,6.75,2009,0,,
Nebraska,6.695,2009,1,,
Nevada,0,2009,0,,
New Hampshire,8.5,2009,0,,
New Jersey,7.75,2009,1,,
New Mexico,6.2,2009,0,,
New York,7.1,2009,0,,
North Carolina,6.9,2009,0,,
North Dakota,4.55,2009,1,,
Ohio,6.8,2009,1,,
Oklahoma,6,2009,0,,
Oregon,6.6,2009,0,,
Pennsylvania,9.99,2009,0,,
Rhode Island,9,2009,0,,
South Carolina,5,2009,0,,
South Dakota,0,2009,0,,
Tennessee,6.5,2009,0,,
Texas,0,2009,0,,
Utah,5,2009,0,,
Vermont,6.25,2009,1,,
Virginia,6,2009,0,,
Washington,0,2009,0,,
West Virginia,8.5,2009,0,,
Wisconsin,7.9,2009,0,,
Wyoming,0,2009,0,,
Dist. of Columbia,9.975,2009,0,,
Alabama,6.5,2008,0,,
Alaska,5.2,2008,1,,
Arizona,6.968,2008,0,,
Arkansas,3.75,2008,1,,
California,8.84,2008,0,,
Colorado,4.63,2008,0,,
Connecticut,7.5,2008,0,,
Delaware,8.7,2008,0,,
Florida,5.5,2008,0,,
Georgia,6,2008,0,,
Hawaii,5.4,2008,1,,
Idaho,7.6,2008,0,,
Illinois,7.3,2008,0,,
Indiana,8.5,2008,0,,
Iowa,9,2008,1,,
Kansas,4,2008,0,,
Kentucky,5.5,2008,1,,
Louisiana,6,2008,1,,
Maine,6.215,2008,1,,
Maryland,8.3,2008,0,,
Massachusetts,9.5,2008,0,,
Michigan,4.95,2008,0,,
Minnesota,9.8,2008,0,,
Mississippi,4,2008,1,,
Missouri,6.25,2008,0,,
Montana,6.75,2008,0,,
Nebraska,6.695,2008,1,,
Nevada,0,2008,0,,
New Hampshire,8.5,2008,0,,
New Jersey,9,2008,0,,
New Mexico,6.2,2008,1,,
New York,7.5,2008,0,,
North Carolina,6.9,2008,0,,
North Dakota,4.55,2008,1,,
Ohio,6.8,2008,1,,
Oklahoma,6,2008,0,,
Oregon,6.6,2008,0,,
Pennsylvania,9.99,2008,0,,
Rhode Island,9,2008,0,,
South Carolina,5,2008,0,,
South Dakota,0,2008,0,,
Tennessee,6.5,2008,0,,
Texas,0,2008,0,,
Utah,5,2008,0,,
Vermont,7.25,2008,1,,
Virginia,6,2008,0,,
Washington,0,2008,0,,
West Virginia,8.5,2008,0,,
Wisconsin,7.9,2008,0,,
Wyoming,0,2008,0,,
Dist. of Columbia,9.975,2008,0,,
Alabama,6.5,2007,0,,
Alaska,5.2,2007,1,,
Arizona,6.968,2007,0,,
Arkansas,3.75,2007,1,,
California,8.84,2007,0,,
Colorado,4.63,2007,0,,
Connecticut,7.5,2007,0,,
Delaware,8.7,2007,0,,
Florida,5.5,2007,0,,
Georgia,6,2007,0,,
Hawaii,5.4,2007,1,,
Idaho,7.6,2007,0,,
Illinois,7.3,2007,0,,
Indiana,8.5,2007,0,,
Iowa,9,2007,1,,
Kansas,4,2007,0,,
Kentucky,5.5,2007,1,,
Louisiana,6,2007,1,,
Maine,6.215,2007,1,,
Maryland,7,2007,0,,
Massachusetts,9.5,2007,0,,
Michigan,0,2007,0,,
Minnesota,9.8,2007,0,,
Mississippi,4,2007,1,,
Missouri,6.25,2007,0,,
Montana,6.75,2007,0,,
Nebraska,6.695,2007,1,,
Nevada,0,2007,0,,
New Hampshire,8.5,2007,0,,
New Jersey,9,2007,0,,
New Mexico,6.2,2007,1,,
New York,7.5,2007,0,,
North Carolina,6.9,2007,0,,
North Dakota,4.8,2007,1,,
Ohio,6.8,2007,1,,
Oklahoma,6,2007,0,,
Oregon,6.6,2007,0,,
Pennsylvania,9.99,2007,0,,
Rhode Island,9,2007,0,,
South Carolina,5,2007,0,,
South Dakota,0,2007,0,,
Tennessee,6.5,2007,0,,
Texas,0,2007,0,,
Utah,5,2007,0,,
Vermont,7.25,2007,1,,
Virginia,6,2007,0,,
Washington,0,2007,0,,
West Virginia,9,2007,0,,
Wisconsin,7.9,2007,0,,
Wyoming,0,2007,0,,
Dist. of Columbia,9.975,2007,0,,
Alabama,6.5,2006,0,,
Alaska,5.2,2006,1,,
Arizona,6.968,2006,0,,
Arkansas,3.75,2006,1,,
California,8.84,2006,0,,
Colorado,4.63,2006,0,,
Connecticut,7.5,2006,0,,
Delaware,8.7,2006,0,,
Florida,5.5,2006,0,,
Georgia,6,2006,0,,
Hawaii,5.4,2006,1,,
Idaho,7.6,2006,0,,
Illinois,7.3,2006,0,,
Indiana,8.5,2006,0,,
Iowa,9,2006,1,,
Kansas,4,2006,0,,
Kentucky,5.5,2006,1,,
Louisiana,6,2006,1,,
Maine,6.215,2006,1,,
Maryland,7,2006,0,,
Massachusetts,9.5,2006,0,,
Michigan,0,2006,0,,
Minnesota,9.8,2006,0,,
Mississippi,4,2006,1,,
Missouri,6.25,2006,0,,
Montana,6.75,2006,0,,
Nebraska,6.695,2006,1,,
Nevada,0,2006,0,,
New Hampshire,8.5,2006,0,,
New Jersey,9,2006,0,,
New Mexico,6.2,2006,1,,
New York,7.5,2006,0,,
North Carolina,6.9,2006,0,,
North Dakota,4.8,2006,1,,
Ohio,6.8,2006,1,,
Oklahoma,6,2006,0,,
Oregon,6.6,2006,0,,
Pennsylvania,9.99,2006,0,,
Rhode Island,9,2006,0,,
South Carolina,5,2006,0,,
South Dakota,0,2006,0,,
Tennessee,6.5,2006,0,,
Texas,0,2006,0,,
Utah,5,2006,0,,
Vermont,8.375,2006,1,,
Virginia,6,2006,0,,
Washington,0,2006,0,,
West Virginia,9,2006,0,,
Wisconsin,7.9,2006,0,,
Wyoming,0,2006,0,,
Dist. of Columbia,9.975,2006,0,,
Alabama,6.5,2005,0,,
Alaska,5.2,2005,1,,
Arizona,6.968,2005,0,,
Arkansas,3.75,2005,1,,
California,8.84,2005,0,,
Colorado,4.63,2005,0,,
Connecticut,7.5,2005,0,,
Delaware,8.7,2005,0,,
Florida,5.5,2005,0,,
Georgia,6,2005,0,,
Hawaii,5.4,2005,1,,
Idaho,7.6,2005,0,,
Illinois,7.3,2005,0,,
Indiana,8.5,2005,0,,
Iowa,9,2005,1,,
Kansas,4,2005,0,,
Kentucky,6.125,2005,1,,
Louisiana,6,2005,1,,
Maine,6.215,2005,1,,
Maryland,7,2005,0,,
Massachusetts,9.5,2005,0,,
Michigan,0,2005,0,,
Minnesota,9.8,2005,0,,
Mississippi,4,2005,1,,
Missouri,6.25,2005,0,,
Montana,6.75,2005,0,,
Nebraska,6.695,2005,1,,
Nevada,0,2005,0,,
New Hampshire,8.5,2005,0,,
New Jersey,9,2005,0,,
New Mexico,6.2,2005,1,,
New York,7.5,2005,0,,
North Carolina,6.9,2005,0,,
North Dakota,4.8,2005,1,,
Ohio,6.8,2005,1,,
Oklahoma,6,2005,0,,
Oregon,6.6,2005,0,,
Pennsylvania,9.99,2005,0,,
Rhode Island,9,2005,0,,
South Carolina,5,2005,0,,
South Dakota,0,2005,0,,
Tennessee,6.5,2005,0,,
Texas,0,2005,0,,
Utah,5,2005,0,,
Vermont,8.375,2005,1,,
Virginia,6,2005,0,,
Washington,0,2005,0,,
West Virginia,9,2005,0,,
Wisconsin,7.9,2005,0,,
Wyoming,0,2005,0,,
Dist. of Columbia,9.975,2005,0,,
Alabama,6.5,2004,0,,
Alaska,5.2,2004,1,,
Arizona,6.968,2004,0,,
Arkansas,3.75,2004,1,,
California,8.84,2004,0,,
Colorado,4.63,2004,0,,
Connecticut,7.5,2004,0,,
Delaware,8.7,2004,0,,
Florida,5.5,2004,0,,
Georgia,6,2004,0,,
Hawaii,5.4,2004,1,,
Idaho,7.6,2004,0,,
Illinois,7.3,2004,0,,
Indiana,8.5,2004,0,,
Iowa,9,2004,1,,
Kansas,4,2004,0,,
Kentucky,6.125,2004,1,,
Louisiana,6,2004,1,,
Maine,6.215,2004,1,,
